gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,R_score,F_score,M_score,RFM_score,CLV_proxy,rfm_cluster,cluster_churn_rate,risk_adjusted_clv,customerID,actual_churn,predicted_churn,churn_probability
Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.45,240.45,1,1,4,114,240.45,1,0.4363419007770472,135.53158995815897,9611-CTWIH,1,1,0.9442796856967113
Male,1,Yes,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.95,700.85,1,2,5,125,700.85,1,0.4363419007770472,395.0397788404064,8884-ADFVN,1,1,0.9438683817710545
Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,95.45,1,1,5,115,95.45,1,0.4363419007770472,53.80116557083084,0295-PPHDO,1,1,0.9437364341757676
Male,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.45,171.45,1,1,4,114,171.45,1,0.4363419007770472,96.63918111177524,4927-WWOOZ,0,1,0.9402625740748101
Female,1,No,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,89.2,346.2,1,1,4,114,346.2,1,0.4363419007770472,195.13843395098624,2865-TCHJW,1,1,0.9400206384578735
Female,1,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.6,195.05,1,1,4,114,195.05,1,0.4363419007770472,109.94151225343694,4713-LZDRV,1,1,0.9381685366339769
Female,0,No,No,5,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.0,424.75,1,1,4,114,424.75,1,0.4363419007770472,239.41377764494916,8739-XNIKG,0,1,0.9379344769053629
Female,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.6,291.9,1,1,5,115,291.9,1,0.4363419007770472,164.5317991631799,9057-SIHCH,1,1,0.9356519993715401
Female,1,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,85.0,85.0,1,1,4,114,85.0,1,0.4363419007770472,47.91093843395098,6230-BSUXY,1,1,0.9348387208596486
Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.95,171.15,1,1,4,114,171.15,1,0.4363419007770472,96.47008368200837,9878-TNQGW,1,1,0.9337103717721978
Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.95,329.95,1,1,5,115,329.95,1,0.4363419007770472,185.97898983861324,6023-YEBUP,1,1,0.9332907814890391
Male,1,No,No,14,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.6,1273.3,1,2,5,125,1273.3,1,0.4363419007770472,717.7058577405857,3320-VEOYC,0,1,0.9330711553694662
Female,0,Yes,No,6,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.75,512.25,1,1,4,114,512.25,1,0.4363419007770472,288.73386132695754,8622-ZLFKO,0,1,0.9312267212537221
Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.1,701.3,1,2,4,124,701.3,1,0.4363419007770472,395.29342498505673,8161-QYMTT,0,1,0.9301929187870466
Male,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.9,324.3,1,1,4,114,324.3,1,0.4363419007770472,182.79432157800358,4806-KEXQR,1,1,0.9296666072702149
Female,0,Yes,No,6,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.3,545.2,1,2,5,125,545.2,1,0.4363419007770472,307.30639569635383,4587-VVTOX,1,1,0.9281340425818273
Male,0,Yes,No,2,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.2,167.5,1,1,4,114,167.5,1,0.4363419007770472,94.41273161984458,7218-HKQFK,1,1,0.9278784503144278
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.5,79.5,1,1,4,114,79.5,1,0.4363419007770472,44.810818888224745,2514-GINMM,1,1,0.9278581219273592
Male,1,Yes,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.9,334.65,1,1,5,115,334.65,1,0.4363419007770472,188.6281829049611,1400-MMYXY,1,1,0.9264041472502453
Female,0,No,Yes,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),94.2,193.8,1,1,4,114,193.8,1,0.4363419007770472,109.23693962940824,3006-XIMLN,1,1,0.9245642469374586
Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.45,76.45,1,1,3,113,76.45,1,0.4363419007770472,43.09166168559474,9248-OJYKK,1,1,0.9245039233429055
Female,1,No,No,16,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.4,1581.2,1,2,5,125,1581.2,1,0.4363419007770472,891.2561864913329,8245-UMPYT,1,1,0.9240792860036396
Male,0,No,No,1,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.0,85.0,1,1,4,114,85.0,1,0.4363419007770472,47.91093843395098,1628-BIZYP,0,1,0.9238931471927864
Male,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,84.85,84.85,1,1,4,114,84.85,1,0.4363419007770472,47.826389719067535,2202-CUYXZ,1,1,0.9211419690564098
Male,0,Yes,No,4,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.35,307.4,1,1,4,114,307.4,1,0.4363419007770472,173.26849970113565,2959-MJHIC,1,1,0.9188393529135079
Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,74.5,1,1,3,113,74.5,1,0.4363419007770472,41.99252839210998,4415-IJZTP,1,1,0.9178382871625804
Male,1,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,77.0,237.75,1,1,3,113,237.75,1,0.4363419007770472,134.009713090257,8258-GSTJK,1,1,0.9177573799554143
Male,0,No,No,4,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,44.55,174.3,1,1,2,112,174.3,1,0.4363419007770472,98.24560669456066,2495-INZWQ,1,1,0.9150250360830496
Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,77.15,77.15,1,1,3,113,77.15,1,0.4363419007770472,43.486222355050806,2609-IAICY,1,1,0.9140902151616017
Male,0,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.85,90.85,1,1,4,114,90.85,1,0.4363419007770472,51.20833831440525,5167-ZFFMM,1,1,0.9133951534414313
Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.55,166.3,1,1,3,113,166.3,1,0.4363419007770472,93.73634190077705,7817-BOQPW,1,1,0.9131481551191851
Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),98.05,713.0,1,2,5,125,713.0,1,0.4363419007770472,401.8882247459653,0655-RBDUG,1,1,0.912917925410638
Female,0,No,No,4,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,93.5,362.2,1,1,4,114,362.2,1,0.4363419007770472,204.15696353855347,1731-TVIUK,1,1,0.912496266852747
Male,0,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.35,265.35,1,1,3,113,265.35,1,0.4363419007770472,149.5666766288105,8083-YTZES,1,1,0.9113876161352704
Female,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.95,212.4,1,1,3,113,212.4,1,0.4363419007770472,119.72098027495517,4090-KPJIP,0,1,0.9106916372878773
Female,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.85,256.6,1,1,3,113,256.6,1,0.4363419007770472,144.6346682606097,3519-ZKXGG,1,1,0.9103726807032081
Female,1,No,No,14,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.85,1531.4,1,2,5,125,1531.4,1,0.4363419007770472,863.1860131500299,9221-OTIVJ,1,1,0.9100059720033697
Male,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.7,1253.9,1,2,5,125,1253.9,1,0.4363419007770472,706.7708906156605,2027-FECZV,1,1,0.9098964199257373
Female,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.5,220.6,1,1,3,113,220.6,1,0.4363419007770472,124.34297668858338,1320-HTRDR,1,1,0.9098699960504685
Male,0,No,No,6,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.4,556.35,1,1,4,114,556.35,1,0.4363419007770472,313.5911835026898,7005-CCBKV,1,1,0.908950808835324
Male,0,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.05,318.9,1,1,3,113,318.9,1,0.4363419007770472,179.75056784219962,8443-ZRDBZ,1,1,0.9088582784454231
Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,1,2,5,125,857.25,1,0.4363419007770472,483.19590555887623,5698-BQJOH,1,1,0.9077574656823086
Female,1,No,No,11,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.15,997.65,1,2,5,125,997.65,1,0.4363419007770472,562.3335026897788,6328-ZPBGN,1,1,0.9075970206806767
Female,1,No,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.15,574.35,1,2,4,124,574.35,1,0.4363419007770472,323.7370292887029,4115-NZRKS,0,1,0.9072676314873117
Male,0,No,No,10,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.9,1048.85,1,2,5,125,1048.85,1,0.4363419007770472,591.192797369994,7209-JCUDS,1,1,0.9071101859298886
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,80.5,80.5,1,1,4,114,80.5,1,0.4363419007770472,45.37447698744769,2867-UIMSS,1,1,0.904230081277419
Male,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.55,35.55,1,1,2,112,35.55,1,0.4363419007770472,20.03804542737597,0841-NULXI,1,1,0.9042254458533783
Male,0,No,No,22,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.1,2162.6,1,3,5,135,2162.6,1,0.4363419007770472,1218.9670053795576,5382-SOYZL,0,1,0.9022296048767394
Male,0,No,No,12,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.55,1173.55,1,2,5,125,1173.55,1,0.4363419007770472,661.4809623430962,3338-CVVEH,0,1,0.9001755172600594
Female,0,Yes,No,2,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.1,68.75,1,1,2,112,68.75,1,0.4363419007770472,38.751494321578,2485-ITVKB,1,1,0.8988841745582413
Male,0,Yes,Yes,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,74.5,1,1,3,113,74.5,1,0.4363419007770472,41.99252839210998,7180-PISOG,1,1,0.8985552294425717
Female,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.0,303.15,1,1,3,113,303.15,1,0.4363419007770472,170.87295277943812,8752-STIVR,1,1,0.898397816730981
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,80.55,184.1,1,1,4,114,184.1,1,0.4363419007770472,103.7694560669456,2737-YNGYW,1,1,0.8969534688187044
Male,1,No,No,3,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,132.2,1,1,2,112,132.2,1,0.4363419007770472,74.51560071727434,7273-TEFQD,1,1,0.8956239829011983
Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.6,69.6,1,1,3,113,69.6,1,0.4363419007770472,39.23060370591751,8375-DKEBR,1,1,0.8950463105777814
Male,0,No,No,4,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,90.4,356.65,1,1,4,114,356.65,1,0.4363419007770472,201.02866108786608,8266-VBFQL,0,1,0.8918369531808216
Male,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,74.3,74.3,1,1,3,113,74.3,1,0.4363419007770472,41.87979677226539,8775-ERLNB,0,1,0.8916236837430027
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.1,69.1,1,1,3,113,69.1,1,0.4363419007770472,38.94877465630603,3716-BDVDB,1,1,0.891206566298364
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.55,69.55,1,1,3,113,69.55,1,0.4363419007770472,39.20242080095636,1820-TQVEV,1,1,0.8904021444260555
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.9,69.9,1,1,3,113,69.9,1,0.4363419007770472,39.3997011356844,9804-ICWBG,1,1,0.8897728814334409
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.9,69.9,1,1,3,113,69.9,1,0.4363419007770472,39.3997011356844,5542-TBBWB,0,1,0.8897728814334409
Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,1,2,5,125,918.75,1,0.4363419007770472,517.8608786610878,4445-ZJNMU,0,1,0.8897601517451093
Female,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),79.35,79.35,1,1,4,114,79.35,1,0.4363419007770472,44.7262701733413,9507-EXLTT,1,1,0.8896208412483817
Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,67.75,116.65,1,1,3,113,116.65,1,0.4363419007770472,65.75071727435744,3750-CKVKH,1,1,0.8895680663622227
Female,1,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.65,142.35,1,1,3,113,142.35,1,0.4363419007770472,80.23673042438732,4342-HENTK,1,1,0.8892006337756546
Male,1,No,No,11,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.4,1183.05,1,2,5,125,1183.05,1,0.4363419007770472,666.8357142857142,3292-PBZEJ,0,1,0.8884330613502347
Female,0,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,1,1,1,111,24.8,1,0.4363419007770472,13.978720860729227,1024-GUALD,1,1,0.8882774570535947
Male,1,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.85,156.4,1,1,3,113,156.4,1,0.4363419007770472,88.1561267184698,7235-NXZCP,1,1,0.8872977950202998
Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,87.05,762.1,1,2,4,124,762.1,1,0.4363419007770472,429.5638374178123,6979-ZNSFF,1,1,0.8867450555193263
Male,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.6,813.85,1,2,4,124,813.85,1,0.4363419007770472,458.7331440526001,7249-WBIYX,1,1,0.8862082642878337
Female,1,No,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,90.1,816.8,1,2,4,124,816.8,1,0.4363419007770472,460.39593544530777,6969-MVBAI,0,1,0.8860359191426592
Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.25,70.25,1,1,3,113,70.25,1,0.4363419007770472,39.59698147041243,3244-DCJWY,1,1,0.8852242342481285
Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.3,144.0,1,1,3,113,144.0,1,0.4363419007770472,81.1667662881052,9717-QEBGU,0,1,0.8848952306450257
Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.6,70.6,1,1,3,113,70.6,1,0.4363419007770472,39.79426180514046,5376-DEQCP,1,1,0.8845690960364252
Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.25,74.25,1,1,3,113,74.25,1,0.4363419007770472,41.85161386730424,3707-GNWHM,1,1,0.8836342968161397
Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.25,55.25,1,1,2,112,55.25,1,0.4363419007770472,31.14210998206814,5501-TVMGM,0,1,0.8830153265843277
Female,0,Yes,Yes,1,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.45,102.45,1,1,5,115,102.45,1,0.4363419007770472,57.746772265391506,7181-BQYBV,1,1,0.8811228075393427
Female,0,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,79.15,79.15,1,1,4,114,79.15,1,0.4363419007770472,44.61353855349671,2254-DLXRI,0,1,0.8811086132275174
Male,1,Yes,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.4,306.6,1,1,3,113,306.6,1,0.4363419007770472,172.81757322175733,8361-LTMKD,1,1,0.8809217825634951
Male,0,Yes,No,13,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.25,1359.0,1,2,5,125,1359.0,1,0.4363419007770472,766.0113568439928,0871-URUWO,1,1,0.8807089911537953
Male,0,No,No,26,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.35,2515.3,1,3,5,135,2515.3,1,0.4363419007770472,1417.769216975493,4735-ASGMA,1,1,0.8807039447386441
Male,0,No,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),105.35,323.25,1,1,5,115,323.25,1,0.4363419007770472,182.20248057381949,5052-PNLOS,1,1,0.8806394583592391
Female,1,No,No,8,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.15,908.55,1,2,5,125,908.55,1,0.4363419007770472,512.1115660490137,2754-SDJRD,0,1,0.8806254673225863
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.95,137.95,1,1,3,113,137.95,1,0.4363419007770472,77.75663478780632,3721-CNEYS,1,1,0.8795853544347219
Male,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,80.0,80.0,1,1,4,114,80.0,1,0.4363419007770472,45.09264793783622,1448-PWKYE,1,1,0.8790149830714796
Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.4,55.4,1,1,2,112,55.4,1,0.4363419007770472,31.22665869695158,3063-QFSZL,1,1,0.8786185153886767
Male,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,90.7,237.65,1,1,4,114,237.65,1,0.4363419007770472,133.95334728033473,0432-CAJZV,0,1,0.8772721796596595
Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,194.2,1,1,3,113,194.2,1,0.4363419007770472,109.46240286909742,6077-BDPXA,0,1,0.8767128499220813
Male,1,Yes,No,24,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.25,2433.9,1,3,5,135,2433.9,1,0.4363419007770472,1371.8874476987446,6892-XPFPU,1,1,0.8764534134334958
Male,1,Yes,No,17,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.45,1622.45,1,2,5,125,1622.45,1,0.4363419007770472,914.5070830842797,7029-RPUAV,1,1,0.8759719453754387
Female,0,No,No,6,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,83.9,497.55,1,1,4,114,497.55,1,0.4363419007770472,280.44808726838016,3908-BLSYF,1,1,0.8741993491327964
Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.9,136.05,1,1,3,113,136.05,1,0.4363419007770472,76.68568439928272,6856-RAURS,0,1,0.8737694592159488
Male,1,No,No,2,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.7,165.4,1,1,3,113,165.4,1,0.4363419007770472,93.22904961147638,2761-OCIAX,1,1,0.8734518271554857
Female,1,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.05,256.25,1,1,3,113,256.25,1,0.4363419007770472,144.43738792588164,1980-KXVPM,1,1,0.8729589168292501
Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,1,1,3,113,316.9,1,0.4363419007770472,178.62325164375372,6047-YHPVI,1,1,0.8728085911835819
Female,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.55,85.55,1,1,4,114,85.55,1,0.4363419007770472,48.220950388523605,0235-KGSLC,1,1,0.8726124697498484
Female,1,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,25.2,25.2,1,1,2,112,25.2,1,0.4363419007770472,14.20418410041841,1768-ZAIFU,1,1,0.8703457064207906
Female,0,No,No,2,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,75.8,160.75,1,1,3,113,160.75,1,0.4363419007770472,90.60803945008965,5159-YFPKQ,1,1,0.8700645167354192
Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.65,95.65,1,1,5,115,95.65,1,0.4363419007770472,53.913897190675435,6857-VWJDT,1,1,0.8696231064791011
Male,0,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,73.9,280.85,1,1,3,113,280.85,1,0.4363419007770472,158.3033771667663,0004-TLHLJ,1,1,0.8690436639071469
Male,0,No,No,9,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.8,713.1,1,2,4,124,713.1,1,0.4363419007770472,401.9445905558876,6000-APYLU,1,1,0.8676168383340421
Female,1,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.25,69.25,1,1,3,113,69.25,1,0.4363419007770472,39.033323371189475,0679-IDSTG,1,1,0.867450198441696
Female,0,Yes,No,9,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.75,769.1,1,2,4,124,769.1,1,0.4363419007770472,433.509444112373,7363-QTBIW,0,1,0.8667962855530562
