gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,R_score,F_score,M_score,RFM_score,CLV_proxy,rfm_cluster,cluster_churn_rate,risk_adjusted_clv,customerID,actual_churn,predicted_churn,churn_probability,Churn,churn_flag,tenure_group,rfm_segment,CLV_level,cluster_name,risk_clv_level
Male,0,Yes,No,4,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.35,307.4,1,1,4,114,307.4,0,0.4340855106888361,173.96211401425174,2959-MJHIC,1,1,0.9149063035270816,Yes,1,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Male,0,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.85,90.85,1,1,4,114,90.85,0,0.4340855106888361,51.41333135391923,5167-ZFFMM,1,1,0.9145121079548092,Yes,1,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Male,1,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,77.0,237.75,1,1,3,113,237.75,0,0.4340855106888361,134.5461698337292,8258-GSTJK,1,1,0.9138826935109152,Yes,1,0-12,New Customers,Low CLV,Low-Value High-Risk,Low
Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,77.15,77.15,1,1,3,113,77.15,0,0.4340855106888361,43.660302850356295,2609-IAICY,1,1,0.9119805826195206,Yes,1,0-12,New Customers,Low CLV,Low-Value High-Risk,Low
Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),98.05,713.0,1,2,5,125,713.0,0,0.4340855106888361,403.4970308788598,0655-RBDUG,1,1,0.9114756725617056,Yes,1,0-12,High Value Risk,Medium CLV,Low-Value High-Risk,Low
Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.55,166.3,1,1,3,113,166.3,0,0.4340855106888361,94.11157957244656,7817-BOQPW,1,1,0.9103853089515964,Yes,1,0-12,New Customers,Low CLV,Low-Value High-Risk,Low
Female,0,No,No,4,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,93.5,362.2,1,1,4,114,362.2,0,0.4340855106888361,204.97422802850355,1731-TVIUK,1,1,0.9103380604250194,Yes,1,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Female,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.95,212.4,1,1,3,113,212.4,0,0.4340855106888361,120.2002375296912,4090-KPJIP,0,1,0.9074394635235348,No,0,0-12,New Customers,Low CLV,Low-Value High-Risk,Low
Male,0,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.35,265.35,1,1,3,113,265.35,0,0.4340855106888361,150.16540973871733,8083-YTZES,1,1,0.9070766544948816,Yes,1,0-12,New Customers,Low CLV,Low-Value High-Risk,Low
Female,1,No,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.15,574.35,1,2,4,124,574.35,0,0.4340855106888361,325.032986935867,4115-NZRKS,0,1,0.9069465353451128,No,0,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Female,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.5,220.6,1,1,3,113,220.6,0,0.4340855106888361,124.84073634204276,1320-HTRDR,1,1,0.9065985880728312,Yes,1,0-12,New Customers,Low CLV,Low-Value High-Risk,Low
Male,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.7,1253.9,1,2,5,125,1253.9,0,0.4340855106888361,709.6001781472684,2027-FECZV,1,1,0.9058318083241804,Yes,1,0-12,High Value Risk,Medium CLV,Low-Value High-Risk,Medium
Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,1,2,5,125,857.25,0,0.4340855106888361,485.1301959619952,5698-BQJOH,1,1,0.9057027403643548,Yes,1,0-12,High Value Risk,Medium CLV,Low-Value High-Risk,Medium
Male,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.55,35.55,1,1,2,112,35.55,0,0.4340855106888361,20.118260095011877,0841-NULXI,1,1,0.9056695247804548,Yes,1,0-12,New Customers,Low CLV,Low-Value High-Risk,Low
Female,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.85,256.6,1,1,3,113,256.6,0,0.4340855106888361,145.21365795724466,3519-ZKXGG,1,1,0.9054007796804808,Yes,1,0-12,New Customers,Low CLV,Low-Value High-Risk,Low
Male,0,No,No,6,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.4,556.35,1,1,4,114,556.35,0,0.4340855106888361,314.846526128266,7005-CCBKV,1,1,0.9052575226916556,Yes,1,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Female,1,No,No,14,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.85,1531.4,1,2,5,125,1531.4,0,0.4340855106888361,866.6414489311163,9221-OTIVJ,1,1,0.904642217930808,Yes,1,13-24,High Value Risk,Medium CLV,Low-Value High-Risk,Medium
Male,0,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.05,318.9,1,1,3,113,318.9,0,0.4340855106888361,180.47013064133012,8443-ZRDBZ,1,1,0.9043512859242524,Yes,1,0-12,New Customers,Low CLV,Low-Value High-Risk,Low
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,80.5,80.5,1,1,4,114,80.5,0,0.4340855106888361,45.55611638954869,2867-UIMSS,1,1,0.904098605816351,Yes,1,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Male,0,No,No,10,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.9,1048.85,1,2,5,125,1048.85,0,0.4340855106888361,593.5594121140141,7209-JCUDS,1,1,0.9035597271586072,Yes,1,0-12,High Value Risk,Medium CLV,Low-Value High-Risk,Medium
Female,1,No,No,11,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.15,997.65,1,2,5,125,997.65,0,0.4340855106888361,564.5845902612826,6328-ZPBGN,1,1,0.9033673893132904,Yes,1,0-12,High Value Risk,Medium CLV,Low-Value High-Risk,Medium
Female,0,Yes,No,2,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.1,68.75,1,1,2,112,68.75,0,0.4340855106888361,38.90662114014251,2485-ITVKB,1,1,0.8989938264652434,Yes,1,0-12,New Customers,Low CLV,Low-Value High-Risk,Low
Male,0,No,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,469.8,1,1,3,113,469.8,0,0.4340855106888361,265.8666270783848,4229-CZMLL,1,1,0.8977254688011219,Yes,1,0-12,New Customers,Low CLV,Low-Value High-Risk,Low
Male,1,No,No,3,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,132.2,1,1,2,112,132.2,0,0.4340855106888361,74.81389548693585,7273-TEFQD,1,1,0.8973449476197707,Yes,1,0-12,New Customers,Low CLV,Low-Value High-Risk,Low
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,80.55,184.1,1,1,4,114,184.1,0,0.4340855106888361,104.18485748218528,2737-YNGYW,1,1,0.8968633828235596,Yes,1,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Male,0,No,No,12,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.55,1173.55,1,2,5,125,1173.55,0,0.4340855106888361,664.1289489311163,3338-CVVEH,0,1,0.895284654070082,No,0,0-12,High Value Risk,Medium CLV,Low-Value High-Risk,Medium
Male,0,No,No,22,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.1,2162.6,1,3,5,135,2162.6,0,0.4340855106888361,1223.846674584323,5382-SOYZL,0,1,0.8941913386245957,No,0,13-24,High Value Risk,Medium CLV,Low-Value High-Risk,Medium
Female,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.0,303.15,1,1,3,113,303.15,0,0.4340855106888361,171.5569774346793,8752-STIVR,1,1,0.8941851502270635,Yes,1,0-12,New Customers,Low CLV,Low-Value High-Risk,Low
Male,0,Yes,Yes,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,74.5,1,1,3,113,74.5,0,0.4340855106888361,42.16062945368171,7180-PISOG,1,1,0.8931689555524811,Yes,1,0-12,New Customers,Low CLV,Low-Value High-Risk,Low
Male,0,No,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),105.35,323.25,1,1,5,115,323.25,0,0.4340855106888361,182.9318586698337,5052-PNLOS,1,1,0.8931250713597554,Yes,1,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Female,0,Yes,Yes,1,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.45,102.45,1,1,5,115,102.45,0,0.4340855106888361,57.97793942992874,7181-BQYBV,1,1,0.8929904023987258,Yes,1,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.6,69.6,1,1,3,113,69.6,0,0.4340855106888361,39.387648456057,8375-DKEBR,1,1,0.8921867563294466,Yes,1,0-12,New Customers,Low CLV,Low-Value High-Risk,Low
Male,0,No,No,4,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,90.4,356.65,1,1,4,114,356.65,0,0.4340855106888361,201.83340261282655,8266-VBFQL,0,1,0.8895448375079532,No,0,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,1,2,5,125,918.75,0,0.4340855106888361,519.9339370546318,4445-ZJNMU,0,1,0.8881145602168209,No,0,0-12,High Value Risk,Medium CLV,Low-Value High-Risk,Medium
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.1,69.1,1,1,3,113,69.1,0,0.4340855106888361,39.104691211401416,3716-BDVDB,1,1,0.8878493554013304,Yes,1,0-12,New Customers,Low CLV,Low-Value High-Risk,Low
Female,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),79.35,79.35,1,1,4,114,79.35,0,0.4340855106888361,44.90531472684085,9507-EXLTT,1,1,0.8873855299775774,Yes,1,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Male,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,74.3,74.3,1,1,3,113,74.3,0,0.4340855106888361,42.04744655581947,8775-ERLNB,0,1,0.8873224810047982,No,0,0-12,New Customers,Low CLV,Low-Value High-Risk,Low
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.55,69.55,1,1,3,113,69.55,0,0.4340855106888361,39.35935273159144,1820-TQVEV,1,1,0.8870588994474291,Yes,1,0-12,New Customers,Low CLV,Low-Value High-Risk,Low
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.9,69.9,1,1,3,113,69.9,0,0.4340855106888361,39.557422802850354,9804-ICWBG,1,1,0.8864407430694722,Yes,1,0-12,New Customers,Low CLV,Low-Value High-Risk,Low
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.9,69.9,1,1,3,113,69.9,0,0.4340855106888361,39.557422802850354,5542-TBBWB,0,1,0.8864407430694722,No,0,0-12,New Customers,Low CLV,Low-Value High-Risk,Low
Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,87.05,762.1,1,2,4,124,762.1,0,0.4340855106888361,431.283432304038,6979-ZNSFF,1,1,0.8859538374226409,Yes,1,0-12,High Value Risk,Medium CLV,Low-Value High-Risk,Low
Female,1,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.65,142.35,1,1,3,113,142.35,0,0.4340855106888361,80.55792755344417,4342-HENTK,1,1,0.8857148592231128,Yes,1,0-12,New Customers,Low CLV,Low-Value High-Risk,Low
Female,1,No,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,90.1,816.8,1,2,4,124,816.8,0,0.4340855106888361,462.2389548693586,6969-MVBAI,0,1,0.8856397623388853,No,0,0-12,High Value Risk,Medium CLV,Low-Value High-Risk,Medium
Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,67.75,116.65,1,1,3,113,116.65,0,0.4340855106888361,66.01392517814726,3750-CKVKH,1,1,0.8855913558066874,Yes,1,0-12,New Customers,Low CLV,Low-Value High-Risk,Low
Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.65,95.65,1,1,5,115,95.65,0,0.4340855106888361,54.12972090261282,6857-VWJDT,1,1,0.8845419024900499,Yes,1,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Female,0,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,1,1,1,111,24.8,0,0.4340855106888361,14.034679334916865,1024-GUALD,1,1,0.8841846877375586,Yes,1,0-12,New Customers,Low CLV,Low-Value High-Risk,Low
Male,1,No,No,11,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.4,1183.05,1,2,5,125,1183.05,0,0.4340855106888361,669.5051365795723,3292-PBZEJ,0,1,0.8835563628267202,No,0,0-12,High Value Risk,Medium CLV,Low-Value High-Risk,Medium
Male,0,No,No,6,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),87.95,522.35,1,1,4,114,522.35,0,0.4340855106888361,295.6054334916864,9741-YLNTD,0,1,0.8834384773135557,No,0,0-12,High Value Risk,Low CLV,Low-Value High-Risk,Low
Male,1,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.85,156.4,1,1,3,113,156.4,0,0.4340855106888361,88.50902612826603,7235-NXZCP,1,1,0.8828536428174207,Yes,1,0-12,New Customers,Low CLV,Low-Value High-Risk,Low
Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.25,70.25,1,1,3,113,70.25,0,0.4340855106888361,39.75549287410926,3244-DCJWY,1,1,0.8825906153792552,Yes,1,0-12,New Customers,Low CLV,Low-Value High-Risk,Low
